retweeted_status.possibly_sensitive,retweeted_status.retweet_count,retweeted_status.retweeted,retweeted_status.favorite_count,retweeted_status.geo
false,247,false,506,
false,250,false,501,
,,,,
false,326,false,229,
false,92,false,130,
,,,,
false,1,false,0,
false,101,false,217,
,1,false,0,
false,46,false,95,
false,255,false,280,
,,,,
,,,,
false,2,false,0,
false,21,false,32,
,,,,
false,105,false,115,
false,2377,false,6885,
false,93,false,130,
false,62,false,261,
false,28,false,49,
,,,,
,1,false,0,
false,1452,false,2092,
,,,,
,5178,false,23572,
false,295,false,362,
false,1,false,0,
false,4020,false,2980,
false,28,false,71,
false,1,false,1,
,,,,
,,,,
false,29,false,72,
,,,,
false,30,false,72,
false,64,false,75,
false,233,false,379,
false,31,false,73,
false,53,false,86,
,,,,
,,,,
false,900,false,899,
,,,,
false,25,false,12,
,,,,
false,34,false,45,
false,19,false,23,
,,,,
false,213,false,452,
false,9,false,5,
,,,,
false,56,false,100,
,,,,
,,,,
false,133,false,108,
,,,,
,,,,
false,51,false,107,
,,,,
,1,false,0,
false,2,false,2,
false,8,false,18,
,,,,
false,93,false,113,
,,,,
false,32,false,75,
,,,,
false,3339,false,2580,
false,41,false,59,
false,532,false,425,
false,93,false,113,
false,7,false,6,
false,33,false,77,
false,38,false,56,
false,34,false,78,
false,106,false,115,
false,2274,false,1614,
false,78,false,137,
false,30,false,93,
,,,,
false,147,false,217,
false,172,false,254,
,,,,
false,1,false,0,
,76,false,145,
,,,,
false,41464,false,132307,
,,,,
,,,,
false,42,false,27,
false,42,false,59,
false,1358,false,1745,
false,1,false,1,
false,20,false,48,
,2638,false,11593,
false,94,false,133,
false,5,false,12,
,,,,
false,1,false,0,
false,455,false,822,
false,95,false,134,
,,,,
,,,,
false,62,false,91,
false,819,false,449,
,,,,
false,25,false,33,
false,120,false,106,
false,35,false,80,
false,102,false,217,
false,26,false,12,
,2,false,2,
,,,,
,,,,
,,,,
false,36,false,80,
,,,,
,,,,
false,94,false,235,
,,,,
false,71,false,68,
false,11,false,19,
,,,,
,,,,
,,,,
false,94,false,113,
,842,false,396,
,,,,
,,,,
,,,,
,,,,
,,,,
false,105,false,104,
false,4,false,2,
,47,false,18,
,,,,
false,1,false,3,
false,5,false,0,
,,,,
,65,false,7,
,,,,
,,,,
false,5,false,3,
false,6,false,12,
,3,false,11,
,78,false,148,
false,8,false,12,
false,39,false,59,
,,,,
,,,,
false,1,false,0,
false,5,false,13,
,,,,
,,,,
false,267,false,309,
false,17,false,37,
,,,,
,,,,
,,,,
false,37,false,84,
,,,,
false,25,false,45,
,,,,
,,,,
false,95,false,114,
,625,false,1599,
false,5,false,3,
,378,false,545,
false,1,false,0,
false,1,false,0,
false,1,false,0,
,,,,
false,1,false,0,
false,3,false,0,
false,1,false,0,
false,135,false,110,
true,25,false,20,
false,1,false,0,
,,,,
,,,,
false,53,false,145,
,,,,
,,,,
,,,,
false,96,false,136,
,,,,
false,1,false,0,
,,,,
false,54,false,145,
false,27,false,12,
,,,,
false,38,false,85,
,9,false,1,
false,97,false,136,
,,,,
,,,,
false,63,false,92,
false,136,false,110,
,,,,
false,12,false,20,
,,,,
,,,,
false,39,false,85,
,,,,
false,98,false,138,
false,40,false,85,
