id_str,possibly_sensitive,favorite_count,geo,text,coordinates
842422120034516997,false,0,,RT @amjoyshow: McDonald's corporate account tweets #Trump is 'disgusting excuse of a President' https://t.co/LH3WKo5e1p via @usatoday,
842422129157107712,,0,,"RT @andersonDrLJA: SO VERY TRUE...LOLOLOLOL🤣🤣🤣🤣
IN 1 DAY #TRUMP GOT MORE OLD FAT WOMEN OUT WALKING THAN #MichelleObama DID IN 8 YEARS! http…",
842422131686289410,,0,,"Dear @McDonalds, I briefly considered supporting U'r corporation because of that wonderful #Trump tweet. But U deleted it &amp; I lost interest.",
842422131443019776,,0,,"RT @DrMartyFox: #Obama Appointed Hawaiian Judge Ruling

Blocking #Trump #EO 

Allows Muslim Imam To Bring Terrorists To #America… ",
842422133066240001,,0,,RT @KitDaniels1776: Was Obama Insider Robert Gibbs Behind McDonald’s Anti #Trump Tweet? He's #McDonalds Communications Chief:… ,
842422132361576448,false,0,,With #Trump recommended position today (https://t.co/UokBHsdq54) https://t.co/lFYpCXxxtX,
842422134144135169,false,0,,"RT @Satiristas: #SteveKing is racist, but he’s merely following his leader, #Trump
https://t.co/W0NKUWLstZ",
842422134760718337,,0,,"RT @RJGatorEsq: Illegal alien's sweatshirt: ""THEY CAN'T DEPORT US ALL.""

Heh. Hold my beer and watch this.

#Trump #BuildTheWall… ",
842422140276097024,,0,,"RT @TKPDX: @ToddRokita  please, #impeach #trump  #AllTheReps",
842422141207232513,,0,,"RT @RJGatorEsq: Math-challenged Libs argue, ""Huh. #Trump has $1.5B to spend on a dumb wall, but can't afford to fund art.""

Here. F… ",
842422143149199360,,0,,"RT @WeThePeopleFor: For ALL people who endured insults, hatred &amp; violence yet stood w/COURAGE for @POTUS #Trump.
This is for YOU! #MAGA 
ht…",
842422143887499264,,0,,"@DavidCornDC Are you summarizing the #trump admin? You forgot the war on women, the war on the free press and the war on free thinking.",
842422144420139008,false,0,,#ANTM #FlashbackFriday #investing #equity #market #Trump Will the world's largest economies bow to Trump on... https://t.co/RKUdJCncUR,
842422144034312192,,0,,RT @RejectTheLies: We are living a sureal nightmare where we are forced to watch #GOP #Trump @VP #PresidentBannon kill our beloved Dem… ,
842422145250664448,,0,,RT @DonJohnstonLC: This never gets old. Armed Toddlers are making an Jihadist offensive look elementary. 🙄 #BowlingGreenMasacre… ,
842422146471231489,false,0,,And you know this because https://t.co/iVQpuoDEKy,
842422147695947781,,0,,"RT @LVNancy: In 2016, ICE conducted 240,255 removals nationwide

92% had previously been convicted of a crime 
#TRUMP 
#MAGA
https://t.co/f…",
842422148354457601,,0,,"RT @FoxNews: #Trump on social media: “I might not be here talking to you right now, as President, if I didn’t have an honest way… ",
842422149193318400,,0,,RT @KitDaniels1776: Was Obama Insider Robert Gibbs Behind McDonald’s Anti #Trump Tweet? He's #McDonalds Communications Chief:… ,
842422154373304320,false,0,,RT @MarkDice: But I thought the hackers support Trump? https://t.co/kvc7vzRExj,
842422156113805312,false,0,,RT @PinkBelgium: 💥 As Always POTUS Keeps His Promises 🇺🇸🚂👍  #Trump Budget Spends Big on Military and the Wall https://t.co/Y3kecMRimn via @…,
842422150682312704,false,0,,"#budget Great time to start a business, with pro-business #Trump! Be a #millionaire in 3-7 yrs Bestseller 7-awards… https://t.co/RIjLGhxhRU",
842422157363691520,,0,,"RT @TKPDX: @RepJimBanks  please, #impeach #trump  #AllTheReps",
842422157028282369,,0,,"RT @ed_hooley: RAND PAUL DEFENDS PRESIDENT TRUMP: JOHN MCCAIN HAS BEEN WRONG ON JUST ABOUT EVERYTHING 
#McCain #MAGA #Gop #Trump https://t.…",
842422158664044544,,0,,"What will the #Trump legacy be?
He KILLED more Americans than have died in All our wars",
842422158974312448,,0,,RT @ZacEfron: .@edsheeran just crushed it! #Grammys,
842422159406444544,false,0,,RT @ed_hooley: TRUMP SUPPORTERS: THE MCDONALD'S BAN IS ON! #ThursdayThoughts #McDonalds #MAGA #trump https://t.co/Rp09VTwdbO,
842422160698286081,,0,,RT @MirandaKaufmann: #WHBBH6 Gerzina shares this hilarious attempt by @david_andreatta to interview Frederick Douglass re #Trump: https://t…,
842422161012862977,,0,,"RT @funder: .@marcorubio PAC took $1 Million from Ukrainian businessman linked to oil co in #TrumpRussia dossier

#resist… ",
842422162984067072,false,0,,"RT @RealAlexJones: .@McDonaldsCorp Show us the email from Twitter proving you were ""compromised"" - https://t.co/SbjBTOtWI4 #imlovingit #Tru…",
842422162820587521,false,0,,RT @dabeard: How did that @McDonalds company tweet against #Trump come to be? https://t.co/d45GjZv4pf #McDonalds https://t.co/LXYVI7vhbg,
842422163072262146,false,0,,lol https://t.co/68YqZNVjkB,
842422164942905344,false,0,,@TrumpTrainNewss  #trump Protect the Constitution https://t.co/kxEacG08eA,
842422168264798209,false,0,,"RT @RealAlexJones: .@McDonaldsCorp Show us the email from Twitter proving you were ""compromised"" - https://t.co/SbjBTOtWI4 #imlovingit #Tru…",
842422170076733440,,0,,#Trump presents #Washington with his first budget proposal -- self titled #hardpowerbudget! #Diplomatic tools of statecraft take a hit!,
842422171154714624,false,0,,"RT @RealAlexJones: .@McDonaldsCorp Show us the email from Twitter proving you were ""compromised"" - https://t.co/SbjBTOtWI4 #imlovingit #Tru…",
842422172345856001,,0,,"RT @co_rapunzel4: #Trump budget eliminates Meals on Wheels-taking food from poor seniors' mouths to build a wall. Got Grandparents, d… ",
842422173834784768,,0,,"RT @2ALAW: This man lost both arms. Trump realized this and thus, touched his face so he could feel the human connection.… ",
842422176317874176,false,0,,"RT @RealAlexJones: .@McDonaldsCorp Show us the email from Twitter proving you were ""compromised"" - https://t.co/SbjBTOtWI4 #imlovingit #Tru…",
